Title,Actors,Description
Ender's Game,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, a genocidal alien race which nearly annihilated the human race in a previous invasion."
Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen","Famed archaeologist/adventurer Dr. Henry ""Indiana"" Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls."
Paper Towns,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith","After an all night adventure, Quentin's life-long crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime."
High-Rise,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans",Life for the residents of a tower block begins to run out of control.
Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while, he still tries to seek revenge over the death of his love."
The Assignment,"Sigourney Weaver, Michelle Rodriguez, Tony Shalhoub,Anthony LaPaglia","After waking up and discovering that he has undergone gender reassignment surgery, an assassin seeks to find the doctor responsible."
How to Train Your Dragon,"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Lady in the Water,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world."
The Fountain,"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Cars 2,"Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
31,"Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,Sheri Moon Zombie","Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."
Final Girl,"Abigail Breslin, Wes Bentley, Logan Huffman,Alexander Ludwig",A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.
Chalk It Up,"Maddy Curley, John DeLuca, Nikki SooHoo, Drew Seeley","When a super girly-girl is dumped by her boyfriend; she decides to do everything she can to get him back by building a college gymnastics team, quickly learning that she is capable of a lot more than just getting an MRS degree."
The Man Who Knew Infinity,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi","The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy."
Unknown,"Liam Neeson, Diane Kruger, January Jones,Aidan Quinn","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
Self/less,"Ryan Reynolds, Natalie Martinez, Matthew Goode,Ben Kingsley","A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem."
Mr. Brooks,"Kevin Costner, Demi Moore, William Hurt, Dane Cook",A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.
Tramps,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia",A young man and woman find love in an unlikely place while carrying out a shady deal.
Before We Go,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum",Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.
Captain Phillips,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
The Secret Scripture,"Rooney Mara, Eric Bana, Theo James, Aidan Turner",A woman keeps a diary of her extended stay at a mental hospital.
Max Steel,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia","The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel."
Hotel Transylvania 2,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James","Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
Hancock,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.
Sisters,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",Two sisters decide to throw one last house party before their parents sell their family home.
The Family,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo","The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard."
Zack and Miri Make a Porno,"Seth Rogen, Elizabeth Banks, Craig Robinson, Gerry Bednob","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought."
Ma vie de Courgette,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud,Michel Vuillermoz","After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love."
Man on a Ledge,"Sam Worthington, Elizabeth Banks, Jamie Bell, Mandy Gonzalez","As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion."
No Strings Attached,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
Rescue Dawn,"Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier",A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.
Despicable Me 2,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
A Walk Among the Tombstones,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
The World's End,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike",Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.
Yoga Hosers,"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp,Adam Brody",Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.
Seven Psychopaths,"Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken",A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
Beowulf,"Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright","The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark, and later, Grendel's mother, who begins killing out of revenge."
Jack Ryan: Shadow Recruit,"Chris Pine, Kevin Costner, Keira Knightley,Kenneth Branagh","Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack."
1408,"John Cusack, Samuel L. Jackson, Mary McCormack, Paul Birchard","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
The Gambler,"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson",Lit professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation is his relationship with one of his students. Will Bennett risk his life for a second chance?
Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina",A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.
The Spectacular Now,"Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh","A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl."""
A United Kingdom,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport","The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil."
USS Indianapolis: Men of Courage,"Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter","During World War II, an American navy ship is sunk by a Japanese submarine leaving 300 crewmen stranded in shark infested waters."
Turbo Kid,"Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright","In a post-apocalyptic wasteland in 1997, a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord."
Mama,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.
Orphan,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.
To Rome with Love,"Woody Allen, Penélope Cruz, Jesse Eisenberg, Ellen Page","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into."
Fantastic Mr. Fox,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
Inside Man,"Denzel Washington, Clive Owen, Jodie Foster,Christopher Plummer","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
I.T.,"Pierce Brosnan, Jason Barry, Karen Moskow, Kai Ryssdal","A self-proclaimed millionaire, has his life turned upside down after firing his I.T. consultant."
127 Hours,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
Annabelle,"Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
Wolves at the Door,"Katie Cassidy, Elizabeth Henstridge, Adam Campbell, Miles Fisher","Four friends gather at an elegant home during the Summer of Love, 1969. Unbeknownst to them, deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary »"
suite francaise,"Michelle Williams, Kristin Scott Thomas, Margot Robbie,Eric Godon","During the early years of Nazi occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Bruno von Falk (Matthias Schoenaerts), a German soldier."
The Imaginarium of Doctor Parnassus,"Christopher Plummer, Lily Cole, Heath Ledger,Andrew Garfield",A traveling theater company gives its audience much more than they were expecting.
G.I. Joe: The Rise of Cobra,"Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer."
Christine,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia","The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career."
Man Down,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara","In a post-apocalyptic America, former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son, accompanied by his best friend and a survivor."
Crawlspace,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins",A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.
Shut In,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt","A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever."
The Warriors Gate,"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory",A teenager is magically transported to China and learns to convert his video game skills into those of a Kung Fu warrior.
Grindhouse,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.
Disaster Movie,"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events."
Rocky Balboa,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young","Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon."
Diary of a Wimpy Kid: Dog Days,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn","School's out. Summer vacation is on. However, Greg may not have the best summer vacation ever. What could go wrong?"
Jane Eyre,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.
Fool's Gold,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.
The Dictator,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
The Loft,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet","Five married guys conspire to secretly share a penthouse loft in the city--a place where they can carry out hidden affairs and indulge in their deepest fantasies. But the fantasy becomes a nightmare when they discover the dead body of an unknown woman in the loft, and they realize one of the group must be involved."
Bacalaureat,"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici",A film about compromises and the implications of the parent's role.
You Don't Mess with the Zohan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson",An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.
Exposed,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino",A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.
Maudie,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett",An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.
Horrible Bosses 2,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston","Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme."
A Bigger Splash,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson",The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter.
Melancholia,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.
The Princess and the Frog,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
Unstoppable,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
Flight,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
Home,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez","An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
La migliore offerta,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland","In the world of high-end art auctions and antiques, Virgil Oldman is an elderly and esteemed but eccentric genius art-expert, known and appreciated by the world. Oldman is hired by a ... See full summary »"
Mean Dreams,"Sophie Nélisse, Josh Wiggins, Joe Cobden, Bill Paxton","Follows Casey and Jonas, two teenagers desperate to escape their broken and abusive homes and examines the desperation of life on the run and the beauty of first love."
42,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie",This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.
21,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings."
Begin Again,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld",A chance encounter between a disgraced music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.
Out of the Furnace,"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson","When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice."
Vicky Cristina Barcelona,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch","Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
Kung Fu Panda,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman","The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts."
Barbershop: The Next Cut,"Ice Cube, Regina Hall, Anthony Anderson, Eve","As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood."
Terminator Salvation,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood","In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?"
Freedom Writers,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school."
The Hills Have Eyes,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin","A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization."
Changeling,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith","A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child, while also refusing to give up hope that she will find him one day."
Remember Me,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisés Acevedo","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
Koe no katachi,"Miyu Irino, Saori Hayami, Aoi Yuki, Kenshô Ono","The story revolves around Nishimiya Shoko, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Ishida Shouya... See full summary »"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day."
Locke,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott","Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence."
The 9th Life of Louis Drax,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul",A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.
Horns,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples."
Indignation,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman","In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War."
The Stanford Prison Experiment,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby",Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.
Diary of a Wimpy Kid: Rodrick Rules,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris","Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond."
Mission: Impossible III,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .
En man som heter Ove,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
Dragonball Evolution,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power."
Red Dawn,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",A group of teenagers look to save their town from an invasion of North Korean soldiers.
One Day,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison","After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
Life as We Know It,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.
28 Weeks Later,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan."
Warm Bodies,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton","After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
Blue Jasmine,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."
G.I. Joe: Retaliation,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.
Wrath of the Titans,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes","Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
Shin Gojira,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ôsugi",Japan is plunged into chaos upon the appearance of a giant monster.
Saving Mr. Banks,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
Transcendence,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy","A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program."
Rio,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Equals,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence","In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society."
Babel,"Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
The Tree of Life,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
The Lucky One,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.
Piranha 3D,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
50/50,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease."
The Intent,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha","Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew, led by the ruthless Hoodz (Scorcher), goes from low level weed peddling to full on armed ... See full summary »"
This Is 40,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
Real Steel,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie","In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot."
Sex and the City,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
Rambo,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish","In Thailand, John Rambo joins a group of missionaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit."
Planet Terror,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton","After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release."
Concussion,"Will Smith, Alec Baldwin, Albert Brooks, David Morse","In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play."
The Fall,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
The Ugly Truth,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »
Bride Wars,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg",Two best friends become rivals when they schedule their respective weddings on the same day.
Sleeping with Other People,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva","A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in."
Snakes on a Plane,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss."
What If,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver","Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life."
How to Train Your Dragon 2,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
RoboCop,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
In Dubious Battle,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez",An activist gets caught up in the labor movement for farm workers in California during the 1930s.
